Pathway,EnsemblID,Symbol,Df_group,Df_residual,F_value,P_value,Significance
NER,ENSMUSG00000030094,Xpc,25,334,56.3962684643223,4.83222366775393e-104,***
NER,ENSMUSG00000028426,Rad23b,25,334,36.4982523108059,3.5346486024028e-80,***
NER,ENSMUSG00000031347,Cetn2,25,334,34.7615241638752,1.13212476922475e-77,***
NER,ENSMUSG00000024740,Ddb1,25,334,48.612816537206,1.30386834023724e-95,***
NER,ENSMUSG00000002109,Ddb2,25,334,36.0936612203661,1.33179736789734e-79,***
NER,ENSMUSG00000054051,Ercc6,25,334,53.8121027731486,2.38019276573966e-101,***
NER,ENSMUSG00000021694,Ercc8,25,334,42.2039161440843,7.46130657989813e-88,***
MMR,ENSMUSG00000024151,Msh2,25,334,54.7940507145206,2.19662264252597e-102,***
MMR,ENSMUSG00000014850,Msh3,25,334,35.3243511823411,1.70804006008822e-78,***
BER,ENSMUSG00000029591,Ung,25,334,27.2656536718945,9.34918842135503e-66,***
BER,ENSMUSG00000030271,Ogg1,25,334,44.7846409730859,4.45896559981547e-91,***
BER,ENSMUSG00000032298,Neil1,25,334,21.284869278746,1.21212433156296e-54,***
FA,ENSMUSG00000034023,Fancd2,25,327,28.2507405593166,8.40015012420184e-67,***
FA,ENSMUSG00000039187,Fanci,25,330,29.5491555960563,3.23939675040871e-69,***
HR,ENSMUSG00000017146,Brca1,25,330,30.6495901795743,5.55108812772633e-71,***
HR,ENSMUSG00000026196,Bard1,25,330,52.5927428774274,2.15839744634946e-99,***
HR,ENSMUSG00000030528,Blm,25,334,38.5786711244777,4.52441145523242e-83,***
HR,ENSMUSG00000027323,Rad51,25,334,31.9069044026766,2.33175777335703e-73,***
NHEJ,ENSMUSG00000026162,Nhej1,25,334,40.5689324316167,9.79937548932406e-86,***
NHEJ,ENSMUSG00000047617,Paxx,25,334,20.2195775699421,1.77520838208769e-52,***
NHEJ,ENSMUSG00000022471,Xrcc6,25,334,34.9534355222015,5.92627526928252e-78,***
NHEJ,ENSMUSG00000026187,Xrcc5,25,334,117.182082129,5.63793859560623e-149,***
A-EJ,ENSMUSG00000026496,Parp1,25,334,34.7273147089157,1.27091868235143e-77,***
A-EJ,ENSMUSG00000034206,Polq,25,334,29.9120376995868,3.46696919498928e-70,***
A-EJ,ENSMUSG00000056394,Lig1,25,334,33.4306925440857,1.08020724914452e-75,***
A-EJ,ENSMUSG00000020697,Lig3,25,334,85.234040587899,8.34975432385269e-129,***
