term_key,DNA_damage_response_GO0006974,DNA_repair_GO0006281,DNA_damage_signal_transduction_GO0042770,intrinsic_apoptotic_signaling_GO0008630,DNA_damage_tolerance_GO0006301,telomere_maintenance_GO0043247,telomere_region_GO0000781,cell_cycle_GO0007049,DNA_replication_GO0006260,DNA_templated_transcription_GO0006351,translation_GO0006412,mitochondrion_GO0005739,mechanosensation_GO0050954,cytoskeleton_GO0005856,cell_death_GO0008219
DNA_damage_response_GO0006974,1,0.955555555555555,0.824273504273504,0.407179487179487,0.721709401709402,0.372991452991453,0.868034188034188,0.854358974358974,0.963760683760684,0.465299145299145,0.336752136752137,0.0646153846153846,-0.275213675213675,0.148034188034188,-0.235555555555556
DNA_repair_GO0006281,0.955555555555555,1,0.718974358974359,0.327179487179487,0.669059829059829,0.440683760683761,0.887179487179487,0.783931623931624,0.964444444444444,0.321025641025641,0.330598290598291,0.0878632478632479,-0.360683760683761,0.107008547008547,-0.344957264957265
DNA_damage_signal_transduction_GO0042770,0.824273504273504,0.718974358974359,1,0.378461538461538,0.696410256410256,0.13982905982906,0.630769230769231,0.821538461538462,0.789401709401709,0.512478632478632,0.268376068376068,0.00512820512820513,-0.157606837606838,0.349059829059829,-0.0502564102564103
intrinsic_apoptotic_signaling_GO0008630,0.407179487179487,0.327179487179487,0.378461538461538,1,0.42017094017094,-0.0222222222222222,0.305299145299145,0.282051282051282,0.371623931623932,0.258803418803419,0.280683760683761,0.014017094017094,-0.0851282051282051,0.0174358974358974,0.148717948717949
DNA_damage_tolerance_GO0006301,0.721709401709402,0.669059829059829,0.696410256410256,0.42017094017094,1,0.0502564102564103,0.528205128205128,0.698461538461538,0.742905982905983,0.178803418803419,0.374358974358974,0.321709401709402,-0.186324786324786,0.375042735042735,-0.052991452991453
telomere_maintenance_GO0043247,0.372991452991453,0.440683760683761,0.13982905982906,-0.0222222222222222,0.0502564102564103,1,0.556923076923077,0.180854700854701,0.321025641025641,0.146666666666667,0.332649572649573,-0.0502564102564103,-0.569230769230769,-0.295726495726496,-0.433162393162393
telomere_region_GO0000781,0.868034188034188,0.887179487179487,0.630769230769231,0.305299145299145,0.528205128205128,0.556923076923077,1,0.67042735042735,0.83042735042735,0.291623931623932,0.187692307692308,-0.0454700854700855,-0.401709401709402,-0.0557264957264957,-0.499487179487179
cell_cycle_GO0007049,0.854358974358974,0.783931623931624,0.821538461538462,0.282051282051282,0.698461538461538,0.180854700854701,0.67042735042735,1,0.803076923076923,0.530940170940171,0.327179487179487,0.143247863247863,-0.122735042735043,0.469401709401709,-0.0721367521367521
DNA_replication_GO0006260,0.963760683760684,0.964444444444444,0.789401709401709,0.371623931623932,0.742905982905983,0.321025641025641,0.83042735042735,0.803076923076923,1,0.383247863247863,0.357264957264957,0.126837606837607,-0.256752136752137,0.221196581196581,-0.184273504273504
DNA_templated_transcription_GO0006351,0.465299145299145,0.321025641025641,0.512478632478632,0.258803418803419,0.178803418803419,0.146666666666667,0.291623931623932,0.530940170940171,0.383247863247863,1,0.00923076923076923,-0.281367521367521,0.126153846153846,0.370940170940171,0.193162393162393
translation_GO0006412,0.336752136752137,0.330598290598291,0.268376068376068,0.280683760683761,0.374358974358974,0.332649572649573,0.187692307692308,0.327179487179487,0.357264957264957,0.00923076923076923,1,0.706666666666667,-0.274529914529915,0.105641025641026,0.157606837606838
mitochondrion_GO0005739,0.0646153846153846,0.0878632478632479,0.00512820512820513,0.014017094017094,0.321709401709402,-0.0502564102564103,-0.0454700854700855,0.143247863247863,0.126837606837607,-0.281367521367521,0.706666666666667,1,-0.122051282051282,0.197264957264957,0.186324786324786
mechanosensation_GO0050954,-0.275213675213675,-0.360683760683761,-0.157606837606838,-0.0851282051282051,-0.186324786324786,-0.569230769230769,-0.401709401709402,-0.122735042735043,-0.256752136752137,0.126153846153846,-0.274529914529915,-0.122051282051282,1,0.397606837606838,0.538461538461538
cytoskeleton_GO0005856,0.148034188034188,0.107008547008547,0.349059829059829,0.0174358974358974,0.375042735042735,-0.295726495726496,-0.0557264957264957,0.469401709401709,0.221196581196581,0.370940170940171,0.105641025641026,0.197264957264957,0.397606837606838,1,0.497435897435897
cell_death_GO0008219,-0.235555555555556,-0.344957264957265,-0.0502564102564103,0.148717948717949,-0.052991452991453,-0.433162393162393,-0.499487179487179,-0.0721367521367521,-0.184273504273504,0.193162393162393,0.157606837606838,0.186324786324786,0.538461538461538,0.497435897435897,1
