Tissue,Pathway,Pathway_Total_Genes,Total_Samples,Flight_Samples,Ground_Samples,Min_Detected_Genes,Q1_Detected_Genes,Median_Detected_Genes,Mean_Detected_Genes,Q3_Detected_Genes,Max_Detected_Genes
Adrenal gland,AEJ,9,28,14,14,9,9.0,9.0,9.0,9.0,9
Adrenal gland,BER,54,28,14,14,52,52.0,52.0,52.3214285714286,53.0,53
Adrenal gland,FA,39,28,14,14,39,39.0,39.0,39.0,39.0,39
Adrenal gland,HR,135,28,14,14,132,133.0,133.0,133.607142857143,134.25,135
Adrenal gland,MMR,27,28,14,14,26,26.0,27.0,26.5714285714286,27.0,27
Adrenal gland,NER,53,28,14,14,52,53.0,53.0,52.9642857142857,53.0,53
Adrenal gland,NHEJ,18,28,14,14,17,17.0,17.0,17.0,17.0,17
Bone marrow,AEJ,9,12,6,6,9,9.0,9.0,9.0,9.0,9
Bone marrow,BER,54,12,6,6,52,53.0,54.0,53.5833333333333,54.0,54
Bone marrow,FA,39,12,6,6,39,39.0,39.0,39.0,39.0,39
Bone marrow,HR,135,12,6,6,133,133.0,134.0,133.666666666667,134.0,134
Bone marrow,MMR,27,12,6,6,27,27.0,27.0,27.0,27.0,27
Bone marrow,NER,53,12,6,6,53,53.0,53.0,53.0,53.0,53
Bone marrow,NHEJ,18,12,6,6,17,17.0,17.0,17.0,17.0,17
Cecum,AEJ,9,10,5,5,9,9.0,9.0,9.0,9.0,9
Cecum,BER,54,10,5,5,51,52.0,52.0,52.1,52.0,53
Cecum,FA,39,10,5,5,36,38.0,39.0,38.4,39.0,39
Cecum,HR,135,10,5,5,126,131.25,132.0,131.7,133.0,135
Cecum,MMR,27,10,5,5,26,26.0,26.0,26.4,27.0,27
Cecum,NER,53,10,5,5,53,53.0,53.0,53.0,53.0,53
Cecum,NHEJ,18,10,5,5,17,17.0,17.0,17.0,17.0,17
Cerebellum,AEJ,9,18,9,9,8,9.0,9.0,8.88888888888889,9.0,9
Cerebellum,BER,54,18,9,9,50,51.0,51.5,51.4444444444445,52.0,52
Cerebellum,FA,39,18,9,9,37,38.0,38.0,38.3888888888889,39.0,39
Cerebellum,HR,135,18,9,9,130,131.0,132.0,131.722222222222,132.0,133
Cerebellum,MMR,27,18,9,9,26,27.0,27.0,26.9444444444444,27.0,27
Cerebellum,NER,53,18,9,9,52,53.0,53.0,52.8333333333333,53.0,53
Cerebellum,NHEJ,18,18,9,9,17,17.0,17.0,17.0,17.0,17
Colon,AEJ,9,9,4,5,9,9.0,9.0,9.0,9.0,9
Colon,BER,54,9,4,5,53,53.0,53.0,53.0,53.0,53
Colon,FA,39,9,4,5,39,39.0,39.0,39.0,39.0,39
Colon,HR,135,9,4,5,133,133.0,134.0,133.777777777778,134.0,135
Colon,MMR,27,9,4,5,27,27.0,27.0,27.0,27.0,27
Colon,NER,53,9,4,5,53,53.0,53.0,53.0,53.0,53
Colon,NHEJ,18,9,4,5,17,17.0,17.0,17.0,17.0,17
Dorsal skin,AEJ,9,60,30,30,9,9.0,9.0,9.0,9.0,9
Dorsal skin,BER,54,60,30,30,52,52.0,53.0,52.6166666666667,53.0,53
Dorsal skin,FA,39,60,30,30,39,39.0,39.0,39.0,39.0,39
Dorsal skin,HR,135,60,30,30,132,134.0,134.0,134.066666666667,135.0,135
Dorsal skin,MMR,27,60,30,30,26,27.0,27.0,26.9666666666667,27.0,27
Dorsal skin,NER,53,60,30,30,53,53.0,53.0,53.0,53.0,53
Dorsal skin,NHEJ,18,60,30,30,17,17.0,17.0,17.0,17.0,17
Extensor digitorum longus,AEJ,9,30,15,15,8,9.0,9.0,8.93333333333333,9.0,9
Extensor digitorum longus,BER,54,30,15,15,50,52.0,52.0,52.1666666666667,53.0,54
Extensor digitorum longus,FA,39,30,15,15,37,37.0,38.0,37.9,38.0,39
Extensor digitorum longus,HR,135,30,15,15,127,128.25,130.0,129.366666666667,130.0,131
Extensor digitorum longus,MMR,27,30,15,15,25,26.0,27.0,26.5,27.0,27
Extensor digitorum longus,NER,53,30,15,15,52,53.0,53.0,52.9,53.0,53
Extensor digitorum longus,NHEJ,18,30,15,15,17,17.0,17.0,17.0,17.0,17
Eye,AEJ,9,22,11,11,9,9.0,9.0,9.0,9.0,9
Eye,BER,54,22,11,11,52,53.0,53.0,52.7727272727273,53.0,53
Eye,FA,39,22,11,11,39,39.0,39.0,39.0,39.0,39
Eye,HR,135,22,11,11,133,134.0,134.0,134.272727272727,135.0,135
Eye,MMR,27,22,11,11,27,27.0,27.0,27.0,27.0,27
Eye,NER,53,22,11,11,53,53.0,53.0,53.0,53.0,53
Eye,NHEJ,18,22,11,11,17,17.0,17.0,17.0,17.0,17
Femoral lateral skin,AEJ,9,19,9,10,9,9.0,9.0,9.0,9.0,9
Femoral lateral skin,BER,54,19,9,10,52,53.0,53.0,52.8947368421053,53.0,53
Femoral lateral skin,FA,39,19,9,10,39,39.0,39.0,39.0,39.0,39
Femoral lateral skin,HR,135,19,9,10,132,134.0,134.0,133.736842105263,134.0,134
Femoral lateral skin,MMR,27,19,9,10,27,27.0,27.0,27.0,27.0,27
Femoral lateral skin,NER,53,19,9,10,53,53.0,53.0,53.0,53.0,53
Femoral lateral skin,NHEJ,18,19,9,10,17,17.0,17.0,17.0,17.0,17
Femoral skin,AEJ,9,5,2,3,9,9.0,9.0,9.0,9.0,9
Femoral skin,BER,54,5,2,3,53,53.0,53.0,53.0,53.0,53
Femoral skin,FA,39,5,2,3,39,39.0,39.0,39.0,39.0,39
Femoral skin,HR,135,5,2,3,134,134.0,134.0,134.0,134.0,134
Femoral skin,MMR,27,5,2,3,27,27.0,27.0,27.0,27.0,27
Femoral skin,NER,53,5,2,3,53,53.0,53.0,53.0,53.0,53
