term_key,term_name,go_id,term_order
DNA_damage_response_GO0006974,DNA damage response,GO:0006974,1
DNA_repair_GO0006281,DNA repair,GO:0006281,2
DNA_damage_signal_transduction_GO0042770,Signal transduction in response to DNA damage,GO:0042770,3
intrinsic_apoptotic_signaling_GO0008630,Intrinsic apoptotic signaling pathway,GO:0008630,4
DNA_damage_tolerance_GO0006301,DNA damage tolerance,GO:0006301,5
telomere_maintenance_GO0043247,Telomere maintenance in response to DNA damage,GO:0043247,6
telomere_region_GO0000781,"Chromosome, telomeric region",GO:0000781,7
cell_cycle_GO0007049,Cell cycle,GO:0007049,8
DNA_replication_GO0006260,DNA replication,GO:0006260,9
DNA_templated_transcription_GO0006351,DNA-templated transcription,GO:0006351,10
translation_GO0006412,Translation,GO:0006412,11
mitochondrion_GO0005739,Mitochondrion,GO:0005739,12
mechanosensation_GO0050954,Sensory perception of mechanical stimulus,GO:0050954,13
cytoskeleton_GO0005856,Cytoskeleton,GO:0005856,14
cell_death_GO0008219,Cell death,GO:0008219,15
