term_key,DNA_damage_response_GO0006974,DNA_repair_GO0006281,DNA_damage_signal_transduction_GO0042770,intrinsic_apoptotic_signaling_GO0008630,DNA_damage_tolerance_GO0006301,telomere_maintenance_GO0043247,telomere_region_GO0000781,cell_cycle_GO0007049,DNA_replication_GO0006260,DNA_templated_transcription_GO0006351,translation_GO0006412,mitochondrion_GO0005739,mechanosensation_GO0050954,cytoskeleton_GO0005856,cell_death_GO0008219
DNA_damage_response_GO0006974,1.0,0.9705235259967298,0.8828930046571335,0.6715069599305554,0.7509515182694312,0.47022211267656305,0.821996717939253,0.8735162568612546,0.9175239875981537,0.6258223735046968,0.47238013465619644,0.22748102920053156,0.3685632528709962,0.6752547374803852,0.6158965342468652
DNA_repair_GO0006281,0.9705235259967298,1.0,0.8181822398016145,0.44027294274701173,0.7818595039052072,0.4637384400323707,0.8244299241445757,0.796931813691095,0.8986667724398427,0.4625063947415425,0.40324026984652245,0.179417027451214,0.25859454287309885,0.5453556745602048,0.41255126061848396
DNA_damage_signal_transduction_GO0042770,0.8828930046571335,0.8181822398016145,1.0,0.6249138615161169,0.7015041270522956,0.3465227276963036,0.7129366364442813,0.9038680359549732,0.7621716996446867,0.7490104952621421,0.37542882979707304,0.07862286153081935,0.4296082778049769,0.7316298693080976,0.639138995555732
intrinsic_apoptotic_signaling_GO0008630,0.6715069599305554,0.44027294274701173,0.6249138615161169,1.0,0.36078351638351575,0.38114613129018815,0.3317807525889644,0.6648289536826101,0.5189752667681562,0.5668259972080353,0.6714845918762291,0.4384980646042339,0.2865278108260331,0.6175306595101697,0.7736830682261574
DNA_damage_tolerance_GO0006301,0.7509515182694312,0.7818595039052072,0.7015041270522956,0.36078351638351575,1.0,0.24775353197266753,0.6194787265400556,0.6286589066216096,0.7563658798534115,0.28473871402299494,0.3425638570544586,0.10249401506793827,0.11897723241828362,0.31798691750971786,0.3409786853064627
telomere_maintenance_GO0043247,0.47022211267656305,0.4637384400323707,0.3465227276963036,0.38114613129018815,0.24775353197266753,1.0,0.4084121516862403,0.26847762438442785,0.3582629167461051,0.16706073062126245,0.5996636523883974,0.18214280397890117,-0.18518405705570523,0.14486917430122528,0.31417101737376474
telomere_region_GO0000781,0.821996717939253,0.8244299241445757,0.7129366364442813,0.3317807525889644,0.6194787265400556,0.4084121516862403,1.0,0.6370063889879567,0.7353433677679014,0.390702885783709,0.16560110667464847,-0.13115978216779223,0.16418096698858833,0.36333563224205556,0.2287769938990205
cell_cycle_GO0007049,0.8735162568612546,0.796931813691095,0.9038680359549732,0.6648289536826101,0.6286589066216096,0.26847762438442785,0.6370063889879567,1.0,0.8015339627935275,0.8184517572421571,0.427696850870351,0.24835099044932452,0.5388669346001237,0.8825914873570635,0.7638974866647206
DNA_replication_GO0006260,0.9175239875981537,0.8986667724398427,0.7621716996446867,0.5189752667681562,0.7563658798534115,0.3582629167461051,0.7353433677679014,0.8015339627935275,1.0,0.46342605064340975,0.38677712931523384,0.15844242746275683,0.2579853376467673,0.5587649665234098,0.46351129567635646
DNA_templated_transcription_GO0006351,0.6258223735046968,0.4625063947415425,0.7490104952621421,0.5668259972080353,0.28473871402299494,0.16706073062126245,0.390702885783709,0.8184517572421571,0.46342605064340975,1.0,0.2818801124286292,0.12732289592043897,0.6324682749272726,0.8515000035919389,0.7941494040052424
translation_GO0006412,0.47238013465619644,0.40324026984652245,0.37542882979707304,0.6714845918762291,0.3425638570544586,0.5996636523883974,0.16560110667464847,0.427696850870351,0.38677712931523384,0.2818801124286292,1.0,0.7172686288123399,-0.10688504613401847,0.38437333281398367,0.6284834093244298
mitochondrion_GO0005739,0.22748102920053156,0.179417027451214,0.07862286153081935,0.4384980646042339,0.10249401506793827,0.18214280397890117,-0.13115978216779223,0.24835099044932452,0.15844242746275683,0.12732289592043897,0.7172686288123399,1.0,0.16460185875343955,0.31269512581505293,0.45895997382461595
mechanosensation_GO0050954,0.3685632528709962,0.25859454287309885,0.4296082778049769,0.2865278108260331,0.11897723241828362,-0.18518405705570523,0.16418096698858833,0.5388669346001237,0.2579853376467673,0.6324682749272726,-0.10688504613401847,0.16460185875343955,1.0,0.6665560229432321,0.622689995263147
cytoskeleton_GO0005856,0.6752547374803852,0.5453556745602048,0.7316298693080976,0.6175306595101697,0.31798691750971786,0.14486917430122528,0.36333563224205556,0.8825914873570635,0.5587649665234098,0.8515000035919389,0.38437333281398367,0.31269512581505293,0.6665560229432321,1.0,0.86097067538184
cell_death_GO0008219,0.6158965342468652,0.41255126061848396,0.639138995555732,0.7736830682261574,0.3409786853064627,0.31417101737376474,0.2287769938990205,0.7638974866647206,0.46351129567635646,0.7941494040052424,0.6284834093244298,0.45895997382461595,0.622689995263147,0.86097067538184,1.0
